Model,Report By,Report Date,Output Format,Cascade-Level1,Cascade-Level2,Cascade-Avg,Direct-Level1,Direct-Level2,Direct-Level3,Direct-Avg,All-Avg
Llama-2-7B,ProjectEval,2025/2/15,JSON,0,0.000704225,0.000352113,0.002816901,0,0.000704225,0.001173709,0.00084507
Llama-3.1-7B,ProjectEval,2025/2/15,JSON,0.002816901,0.002816901,0.002816901,0.001408451,0.002816901,0.004225352,0.002816901,0.002816901
Llama-3.2-3B,ProjectEval,2025/2/15,JSON,0.002112676,0.001408451,0.001760563,0.001408451,0,0,0.000469484,0.000985915
Phi-3-14B,ProjectEval,2025/2/15,JSON,0,0,0,0,0,0,0,0
Phi-4-14B,ProjectEval,2025/2/15,JSON,0.001408451,0.005633803,0.003521127,0.017605634,0.011267606,0.020422535,0.016431925,0.011267606
Gemma-7B,ProjectEval,2025/2/15,JSON,0.009859155,0.01056338,0.010211268,0.005633803,0.006338028,0.004929577,0.005633803,0.007464789
Gemma-2-9B,ProjectEval,2025/2/15,JSON,0.016901408,0.01056338,0.013732394,0.013380282,0.005633803,0.006338028,0.008450704,0.01056338
Mistral-7B-v0.3,ProjectEval,2025/2/15,JSON,0.014788732,0.01056338,0.012676056,0.00915493,0.009859155,0.005633803,0.008215962,0.01
StarCoder2-7B,ProjectEval,2025/2/15,JSON,-,-,-,-,-,0,-,-
CodeGemma,ProjectEval,2025/2/15,JSON,-,-,-,-,-,0.011971831,-,-
CodeLlama,ProjectEval,2025/2/15,JSON,-,-,-,-,-,0.007746479,-,-
GPT-3.5-turbo ,ProjectEval,2025/2/15,JSON,0.023943662,0.024647887,0.024295775,0.01971831,0.023943662,0.052816901,0.032159624,0.029014085
GPT-4o,ProjectEval,2025/2/15,JSON,0.085211268,0.123239437,0.104225352,0.16056338,0.154225352,0.101408451,0.138732394,0.124929577
Gemini-1.5-pro ,ProjectEval,2025/2/15,JSON,0.078169014,0.073943662,0.076056338,0.052816901,0.045070423,0.082394366,0.060093897,0.066478873
Gemini-2.0-flash,ProjectEval,2025/2/15,JSON,0.032394366,0.035915493,0.03415493,0.035211268,0.034507042,0.077464789,0.049061033,0.043098592
OpenHands(GPT-4o)*,ProjectEval,2025/4/25,Files,-,-,-,0.073943662,-,-,-,-
Gemini-2.0-pro*,ProjectEval,2025/2/15,JSON,0.049295775,0.049295775,0.049295775,0,0.056338028,"0.073943662
",-,-
Gemma-3-4B,ProjectEval,2025/5/30,JSON,0.014788732,0.012676056,0.013732394,0.014788732,0.018309859,0.007746479,0.013615023,0.013661972
Gemma-3-27B,ProjectEval,2025/5/30,JSON,0.015492958,0.008450704,0.011971831,0.021126761,0.024647887,0.026056338,0.023943662,0.01915493
